Stock,Horizon,Configuration,Sharpe,Max Drawdown,Hit Rate (%),Signals
ADANIENT.NS,1d,Gated (Proposed),0.06753694347706246,-0.26843119482868555,44.66019417475729,103
ADANIENT.NS,1d,Ungated (Ablation),0.06753694347706246,-0.26843119482868555,44.66019417475729,103
HCLTECH.NS,1d,Gated (Proposed),0.0,0.0,0.0,0
HCLTECH.NS,1d,Ungated (Ablation),0.0,0.0,0.0,0
HINDALCO.NS,1d,Gated (Proposed),0.850053131313544,-0.08487031680327463,50.0,48
HINDALCO.NS,1d,Ungated (Ablation),0.850053131313544,-0.08487031680327463,50.0,48
ICICIBANK.NS,1d,Gated (Proposed),-1.3336881045919373,-0.23188036565807923,48.19277108433735,83
ICICIBANK.NS,1d,Ungated (Ablation),-1.3336881045919373,-0.23188036565807923,48.19277108433735,83
INDIGO.NS,1d,Gated (Proposed),0.23633607948126215,-0.10408587369849072,45.45454545454545,44
INDIGO.NS,1d,Ungated (Ablation),0.23633607948126215,-0.10408587369849072,45.45454545454545,44
MARUTI.NS,1d,Gated (Proposed),-0.8720290836673695,-0.19404850091400622,47.5,40
MARUTI.NS,1d,Ungated (Ablation),-0.8720290836673695,-0.19404850091400622,47.5,40
ONGC.NS,1d,Gated (Proposed),-0.13268495062955826,-0.10484965308566695,63.1578947368421,38
ONGC.NS,1d,Ungated (Ablation),-0.13268495062955826,-0.10484965308566695,63.1578947368421,38
TRENT.NS,1d,Gated (Proposed),0.15341388993972277,-0.199948169467861,57.14285714285714,56
TRENT.NS,1d,Ungated (Ablation),0.15341388993972277,-0.199948169467861,57.14285714285714,56
ADANIENT.NS,3d,Gated (Proposed),0.9633591068669433,-0.23951519607869107,60.86956521739131,23
ADANIENT.NS,3d,Ungated (Ablation),0.9633591068669433,-0.23951519607869107,60.86956521739131,23
HCLTECH.NS,3d,Gated (Proposed),-0.21850015645455464,-0.08237664253590872,60.0,5
HCLTECH.NS,3d,Ungated (Ablation),-0.21850015645455464,-0.08237664253590872,60.0,5
HINDALCO.NS,3d,Gated (Proposed),-1.1362849362988545,-0.3314770553931723,51.21951219512195,41
HINDALCO.NS,3d,Ungated (Ablation),-1.1560577372586247,-0.39583380054694045,51.11111111111111,45
ICICIBANK.NS,3d,Gated (Proposed),-0.286045347018227,-0.17048065210499083,38.70967741935484,31
ICICIBANK.NS,3d,Ungated (Ablation),-0.286045347018227,-0.17048065210499083,38.70967741935484,31
INDIGO.NS,3d,Gated (Proposed),0.291990973280756,-0.1899646913832438,40.625,32
INDIGO.NS,3d,Ungated (Ablation),0.291990973280756,-0.1899646913832438,40.625,32
MARUTI.NS,3d,Gated (Proposed),-0.32232465241961084,-0.13178943370899754,42.857142857142854,35
MARUTI.NS,3d,Ungated (Ablation),-0.32232465241961084,-0.13178943370899754,42.857142857142854,35
ONGC.NS,3d,Gated (Proposed),-1.073631007781702,-0.26067248330657034,48.484848484848484,33
ONGC.NS,3d,Ungated (Ablation),-1.073631007781702,-0.26067248330657034,48.484848484848484,33
TRENT.NS,3d,Gated (Proposed),0.6480690177349431,-0.3332261672278279,56.86274509803921,51
TRENT.NS,3d,Ungated (Ablation),0.6480690177349431,-0.3332261672278279,56.86274509803921,51
ADANIENT.NS,7d,Gated (Proposed),1.0322397553619975,-0.344196934049977,48.0,25
ADANIENT.NS,7d,Ungated (Ablation),1.0322397553619975,-0.344196934049977,48.0,25
HCLTECH.NS,7d,Gated (Proposed),0.4312259165124829,-0.22988639933753388,47.82608695652174,23
HCLTECH.NS,7d,Ungated (Ablation),0.4312259165124829,-0.22988639933753388,47.82608695652174,23
HINDALCO.NS,7d,Gated (Proposed),0.15527082016391114,-0.20220641407522794,50.0,24
HINDALCO.NS,7d,Ungated (Ablation),-0.9329421255345816,-0.28795888728239794,45.83333333333333,24
ICICIBANK.NS,7d,Gated (Proposed),-0.5721877273677084,-0.18011168825076304,52.0,25
ICICIBANK.NS,7d,Ungated (Ablation),-0.5721877273677084,-0.18011168825076304,52.0,25
INDIGO.NS,7d,Gated (Proposed),-0.4267863362507308,-0.19373301771025245,40.909090909090914,22
INDIGO.NS,7d,Ungated (Ablation),-0.4267863362507308,-0.19373301771025245,40.909090909090914,22
MARUTI.NS,7d,Gated (Proposed),0.5481349526742227,-0.10115176946150303,62.5,24
MARUTI.NS,7d,Ungated (Ablation),0.6128761897070142,-0.18033492338085597,56.00000000000001,25
ONGC.NS,7d,Gated (Proposed),-0.18316522559468335,-0.24413597627112998,45.45454545454545,22
ONGC.NS,7d,Ungated (Ablation),-0.18316522559468335,-0.24413597627112998,45.45454545454545,22
TRENT.NS,7d,Gated (Proposed),1.2798947355736308,-0.21855606172992453,56.00000000000001,25
TRENT.NS,7d,Ungated (Ablation),1.2798947355736308,-0.21855606172992453,56.00000000000001,25
