Horizon,Model,RMSE,MAE,MAPE
1d,Linear_Regression,0.8939183096440129,0.5931326576085589,48966.46601354348
1d,Plain_LSTM,0.02218509880018747,0.015070531739257851,870.3554927755313
1d,LSTM_Sentiment,0.024209624169415384,0.01730161911025355,1002.5838102830088
1d,Regime_MoE,0.025453639285425666,0.016653327393985982,994.8659411441364
3d,Linear_Regression,1.6462529723511408,1.1174021280538682,151643.68116102964
3d,Plain_LSTM,0.04282834721708815,0.03125798611684351,11061.411676322972
3d,LSTM_Sentiment,0.03759234066620006,0.026951217489768416,1216.6848139821464
3d,Regime_MoE,0.03579672293243218,0.024742060077136897,23258.693637066834
7d,Linear_Regression,4.086927846243635,2.796182032264519,48437.80477691726
7d,Plain_LSTM,0.06774152568976288,0.0525746351534452,1016.1536798222475
7d,LSTM_Sentiment,0.06889381746822257,0.05305904091993017,1104.1787202722558
7d,Regime_MoE,0.06381273534987515,0.04919823087508562,493.3760788394566
