Horizon,Regime,Model,RMSE,MAE,MAPE
1d,Bullish,Linear_Regression,1.163229108061827,0.8131539359902604,64859.177554536356
1d,Bullish,Plain_LSTM,0.02203867186998007,0.01405756082428793,1105.06714587951
1d,Bullish,LSTM_Sentiment,0.024121796421784466,0.01641798339325704,961.8869278647287
1d,Bullish,Regime_MoE,0.02889042156779255,0.018605690808333693,1614.5713466469022
1d,Bearish,Linear_Regression,0.36807703122449775,0.3021791993450731,20825.62680784866
1d,Bearish,Plain_LSTM,0.02635736124118276,0.02010642683433183,832.8134706864337
1d,Bearish,LSTM_Sentiment,0.02915883220478665,0.023504319423683646,1749.6155431197674
1d,Bearish,Regime_MoE,0.023365168100849657,0.016376408399971207,407.9676303567559
1d,Sideways,Linear_Regression,0.5739865479396487,0.42894777936560236,42910.37315270743
1d,Sideways,Plain_LSTM,0.018412219411889467,0.012815495725312728,472.9629556607214
1d,Sideways,LSTM_Sentiment,0.019460020351881855,0.013860309367612083,468.28119540604496
1d,Sideways,Regime_MoE,0.019758152170267957,0.013318958582816533,342.96486329702606
3d,Bullish,Linear_Regression,1.7873040337330897,1.2814489678389798,38927.089590127645
3d,Bullish,Plain_LSTM,0.04698070177222,0.034161546391276824,754.023389718627
3d,Bullish,LSTM_Sentiment,0.04033838054613525,0.028695509112725306,589.1140573086028
3d,Bullish,Regime_MoE,0.03679982252469186,0.02457746219914302,421.24786864954143
3d,Bearish,Linear_Regression,0.7661486169522299,0.5997908762204306,553345.3043295583
3d,Bearish,Plain_LSTM,0.033897756838435475,0.026865778717463228,46806.28148321311
3d,Bearish,LSTM_Sentiment,0.037169731581962635,0.026935140567327782,3650.3788191933277
3d,Bearish,Regime_MoE,0.040311744032456596,0.029597553422429458,101767.34140988823
3d,Sideways,Linear_Regression,1.8910692303094074,1.244666824155075,26257.481460749426
3d,Sideways,Plain_LSTM,0.04145664044878523,0.029580963541294275,410.1526606602408
3d,Sideways,LSTM_Sentiment,0.03238663392254782,0.02378300179076541,356.14047874544764
3d,Sideways,Regime_MoE,0.029418645462316494,0.021041698935798905,227.09034993670002
7d,Bullish,Linear_Regression,4.981707926867969,3.8347765876129825,39302.799375052826
7d,Bullish,Plain_LSTM,0.07165220020279599,0.05454362887118686,526.2872619057609
7d,Bullish,LSTM_Sentiment,0.07325487027661245,0.05591024447779476,540.7479213907941
7d,Bullish,Regime_MoE,0.06898875797453752,0.05281590608352627,448.098445024929
7d,Bearish,Linear_Regression,1.1038725219554442,0.8199094246122094,74251.23757495583
7d,Bearish,Plain_LSTM,0.06852018220057472,0.05377424678715298,2064.458726683776
7d,Bearish,LSTM_Sentiment,0.07398910524808397,0.05922957989429519,2801.0607438006055
7d,Bearish,Regime_MoE,0.06067373895772976,0.047292900813425645,472.03639259530564
7d,Sideways,Linear_Regression,3.8680858886703744,2.568603602484045,43323.924543677495
7d,Sideways,Plain_LSTM,0.0591986944451437,0.04796866706046591,1025.4491240349234
7d,Sideways,LSTM_Sentiment,0.05477713829901706,0.04264766607236566,700.3529385627226
7d,Sideways,Regime_MoE,0.05610117789628888,0.04420380432921426,594.0205263429491
